Unidade da Federação,"Valor corrente
(R$ 1 000 000)","Participação
(%)",Posição relativa da variação em volume,"Variação em volume
(%)"
Mato Grosso do Sul,83 082,"1,4",1º,"-0,3"
Roraima,10 354,"0,2",2º,"-0,3"
Tocantins,28 930,"0,5",3º,"-0,4"
Pará,130 883,"2,2",4º,"-0,9"
Distrito Federal,215 613,"3,6",5º,-1
Piauí,39 148,"0,7",6º,"-1,1"
Acre,13 622,"0,2",7º,"-1,5"
Mato Grosso,107 418,"1,8",8º,"-1,9"
Rio Grande do Norte,57 250,1,9º,-2
Espírito Santo,120 363,2,10º,"-2,1"
Paraíba,56 140,"0,9",11º,"-2,7"
Rio de Janeiro,659 137,11,12º,"-2,8"
Alagoas,46 364,"0,8",13º,"-2,9"
Rondônia,36 563,"0,6",14º,"-3,1"
Sergipe,38 554,"0,6",15º,"-3,3"
Ceará,130 621,"2,2",16º,"-3,4"
Bahia,245 025,"4,1",17º,"-3,4"
Paraná,376 960,"6,3",18º,"-3,4"
Maranhão,78 475,"1,3",19º,"-4,1"
São Paulo,1 939 890,"32,4",20º,"-4,1"
Pernambuco,156 955,"2,6",21º,"-4,2"
Santa Catarina,249 073,"4,2",22º,"-4,2"
Goiás,173 632,"2,9",23º,"-4,3"
Minas Gerais,519 326,"8,7",24º,"-4,3"
Rio Grande do Sul,381 985,"6,4",25º,"-4,6"
Amazonas,86 560,"1,4",26º,"-5,4"
Amapá,13 861,"0,2",27º,"-5,5"